Unknown error type:odbc_execute(): SQL error: [Microsoft][ODBC SQL Server Driver]Numeric value out of range, SQL state 22003 in SQLExecute
Unknown error type:odbc_execute(): SQL error: [Microsoft][ODBC SQL Server Driver]Numeric value out of range, SQL state 22003 in SQLExecuteUnknown error type:odbc_connect(): SQL error: [Microsoft][ODBC SQL Server Driver][DBMSLPCN]SQL Server does not exist or access denied., SQL state 08001 in SQLConnect   |  Date:  31.01.2013 01:19:23
Unknown error type:odbc_prepare() expects parameter 1 to be resource, boolean given   |  Date:  31.01.2013 01:19:23
Unknown error type:odbc_execute() expects parameter 1 to be resource, null given   |  Date:  31.01.2013 01:19:23
Unknown error type:odbc_close() expects parameter 1 to be resource, boolean given   |  Date:  31.01.2013 01:19:23
Unknown error type:odbc_connect(): SQL error: [Microsoft][ODBC SQL Server Driver][DBMSLPCN]SQL Server does not exist or access denied., SQL state 08001 in SQLConnect   |  Date:  31.01.2013 01:19:52
Unknown error type:odbc_prepare() expects parameter 1 to be resource, boolean given   |  Date:  31.01.2013 01:19:52
Unknown error type:odbc_execute() expects parameter 1 to be resource, null given   |  Date:  31.01.2013 01:19:52
Unknown error type:odbc_close() expects parameter 1 to be resource, boolean given   |  Date:  31.01.2013 01:19:52
Unknown error type:odbc_connect(): SQL error: [Microsoft][ODBC SQL Server Driver][DBMSLPCN]SQL Server does not exist or access denied., SQL state 08001 in SQLConnect   |  Date:  31.01.2013 01:23:49
Unknown error type:odbc_prepare() expects parameter 1 to be resource, boolean given   |  Date:  31.01.2013 01:23:49
Unknown error type:odbc_execute() expects parameter 1 to be resource, null given   |  Date:  31.01.2013 01:23:49
Unknown error type:odbc_close() expects parameter 1 to be resource, boolean given   |  Date:  31.01.2013 01:23:49
