<b>NOTICE</b> 8Undefined index: item   |  Date:  04.02.2013 09:10:18
<b>NOTICE</b> 8 Undefined index: item   |  Date:  04.02.2013 09:14:13
<b>NOTICE</b> 8 Undefined index: employee_name   |  Date:  04.02.2013 09:37:30
<b>NOTICE</b> 8 Constant POS_ROOT already defined   |  Date:  04.02.2013 09:37:31
<b>NOTICE</b> 8 Undefined index: employee_name   |  Date:  04.02.2013 09:37:31
<b>WARNING</b> 2 odbc_execute(): SQL error: [Microsoft][ODBC SQL Server Driver][SQL Server]There is insufficient system memory in resource pool 'internal' to run this query., SQL state 37000 in SQLDescribeParameter   |  Date:  04.02.2013 09:58:39
<b>WARNING</b> 2 odbc_execute(): SQL error: [Microsoft][ODBC SQL Server Driver][SQL Server]There is insufficient system memory in resource pool 'internal' to run this query., SQL state 37000 in SQLDescribeParameter   |  Date:  04.02.2013 09:58:39
<b>WARNING</b> 2 odbc_execute(): SQL error: [Microsoft][ODBC SQL Server Driver][SQL Server]There is insufficient system memory in resource pool 'internal' to run this query., SQL state 37000 in SQLDescribeParameter   |  Date:  04.02.2013 09:58:40
<b>NOTICE</b> 8 Undefined index: employee_name   |  Date:  04.02.2013 09:59:23
<b>NOTICE</b> 8 Constant POS_ROOT already defined   |  Date:  04.02.2013 09:59:23
<b>NOTICE</b> 8 Undefined index: employee_name   |  Date:  04.02.2013 09:59:23
<b>NOTICE</b> 8 Array to string conversion   |  Date:  04.02.2013 10:02:56
<b>NOTICE</b> 8 Array to string conversion   |  Date:  04.02.2013 10:03:27
<b>WARNING</b> 2 odbc_execute(): SQL error: [Microsoft][ODBC SQL Server Driver][SQL Server]XML parsing: line 2, character 15, illegal qualified name character, SQL state 37000 in SQLExecute   |  Date:  04.02.2013 10:11:51
<b>WARNING</b> 2 odbc_execute(): SQL error: [Microsoft][ODBC SQL Server Driver][SQL Server]XML parsing: line 2, character 15, illegal qualified name character, SQL state 37000 in SQLExecute   |  Date:  04.02.2013 10:12:12
<b>WARNING</b> 2 odbc_execute(): SQL error: [Microsoft][ODBC SQL Server Driver][SQL Server]Cannot insert the value NULL into column 'item_id', table 'pos_back.dbo.event_item'; column does not allow nulls. INSERT fails., SQL state 23000 in SQLExecute   |  Date:  04.02.2013 10:14:25
<b>WARNING</b> 2 include(Array2XML.php): failed to open stream: No such file or directory   |  Date:  04.02.2013 10:16:55
<b>WARNING</b> 2 include(): Failed opening 'Array2XML.php' for inclusion (include_path='.;C:\xampp\php\PEAR')   |  Date:  04.02.2013 10:16:55
<b>WARNING</b> 2 include(Array2XML.php): failed to open stream: No such file or directory   |  Date:  04.02.2013 10:17:36
<b>WARNING</b> 2 include(): Failed opening 'Array2XML.php' for inclusion (include_path='.;C:\xampp\php\PEAR')   |  Date:  04.02.2013 10:17:36
<b>WARNING</b> 2 include(array2xml.php): failed to open stream: No such file or directory   |  Date:  04.02.2013 10:19:04
<b>WARNING</b> 2 include(): Failed opening 'array2xml.php' for inclusion (include_path='.;C:\xampp\php\PEAR')   |  Date:  04.02.2013 10:19:04
<b>WARNING</b> 2 include(class.array2xml.php): failed to open stream: No such file or directory   |  Date:  04.02.2013 10:19:49
<b>WARNING</b> 2 include(): Failed opening 'class.array2xml.php' for inclusion (include_path='.;C:\xampp\php\PEAR')   |  Date:  04.02.2013 10:19:49
<b>WARNING</b> 2 include(Array2XML.php): failed to open stream: No such file or directory   |  Date:  04.02.2013 10:25:29
<b>WARNING</b> 2 include(): Failed opening 'Array2XML.php' for inclusion (include_path='.;C:\xampp\php\PEAR')   |  Date:  04.02.2013 10:25:29
<b>WARNING</b> 2 include(Array2XML.php): failed to open stream: No such file or directory   |  Date:  04.02.2013 10:28:13
<b>WARNING</b> 2 include(): Failed opening 'Array2XML.php' for inclusion (include_path='.;C:\xampp\php\PEAR')   |  Date:  04.02.2013 10:28:13
<b>WARNING</b> 2 include(Array2XML.php): failed to open stream: No such file or directory   |  Date:  04.02.2013 10:28:15
<b>WARNING</b> 2 include(): Failed opening 'Array2XML.php' for inclusion (include_path='.;C:\xampp\php\PEAR')   |  Date:  04.02.2013 10:28:15
<b>WARNING</b> 2 include(Array2XML.php): failed to open stream: No such file or directory   |  Date:  04.02.2013 10:28:16
<b>WARNING</b> 2 include(): Failed opening 'Array2XML.php' for inclusion (include_path='.;C:\xampp\php\PEAR')   |  Date:  04.02.2013 10:28:17
<b>WARNING</b> 2 include(Array2XML.php): failed to open stream: No such file or directory   |  Date:  04.02.2013 10:28:20
<b>WARNING</b> 2 include(): Failed opening 'Array2XML.php' for inclusion (include_path='.;C:\xampp\php\PEAR')   |  Date:  04.02.2013 10:28:20
Unknown error type:8192 Function ereg_replace() is deprecated   |  Date:  04.02.2013 10:28:20
Unknown error type:8192 Function ereg_replace() is deprecated   |  Date:  04.02.2013 10:28:20
Unknown error type:8192 Function ereg_replace() is deprecated   |  Date:  04.02.2013 10:28:20
